NUMERO CON;TIPO PAVIMENTAZIONE;TIPO COPERTURA;MQ;DAL GIORNO;AL GIORNO;NOTE;UBICAZIONE;CIVICO;STAGIONE;AREA MQ;DO_Y;DO_X
101;PEDANA RINGHIERA TAVOLINI;COPERTURA NON DEFINITA;34;2012-11-16;2015-03-14;;Piazza di San Marco;11 R;INVERNALE;34;43.7777647689081;11.2582176719872
1045;PEDANA RINGHIERA TAVOLINI;OMBRELLONI;6;2012-11-16;2015-03-14;;Via della Scala;61 R;INVERNALE;6;43.7751746201188;11.2460515635338
1053;PEDANA RINGHIERA TAVOLINI;OMBRELLONI;15;2012-11-16;2015-03-14;;Via Nazionale;78 R;INVERNALE;15;43.7770671250175;11.2519547692012
1059;PEDANA RINGHIERA TAVOLINI;OMBRELLONI;19;2011-07-13;2013-09-30;"PERIODO: dal 13.07.2011 al 18.09.2011; dal 01.05 al 30.09 degli anni 2012-2013 in presenza di analoga occupazione.";Via Torcicoda;99;ESTIVO;19;43.7801787965015;11.2101033166314
1059;PEDANA RINGHIERA TAVOLINI;OMBRELLONI;19;2011-07-13;2013-09-30;"PERIODO: dal 13.07.2011 al 18.09.2011; dal 01.05 al 30.09 degli anni 2012-2013 in presenza di analoga occupazione.";Via Torcicoda;99;ESTIVO;19;43.7801787965015;11.2101033166314
106;PEDANA RINGHIERA TAVOLINI;NESSUNA;-;2011-11-16;2014-03-14;;Via delle Farine;;INVERNALE;0;43.770024625788;11.2561420789523
106;PEDANA RINGHIERA TAVOLINI;OMBRELLONI;-;2011-11-16;2014-03-14;;Piazza della Signoria;28 R;INVERNALE;0;43.7700170948659;11.256199224278
1066;PEDANA RINGHIERA TAVOLINI PARAVENTI;SEMIRIGIDA;24;2011-03-15;2013-06-15;;Piazza Giovambattista Giorgini;7/A/B;ESTIVO;24;43.7921409804951;11.2509505863266
1066;PEDANA RINGHIERA TAVOLINI PARAVENTI;SEMIRIGIDA;24;2011-11-16;2014-03-14;;Piazza Giovambattista Giorgini;7/A;INVERNALE;24;43.7921406761084;11.2509519566675
107;PEDANA RINGHIERA TAVOLINI;OMBRELLONI;24;2012-11-16;2015-03-14;;Piazza di Santa Felicita;4 R;INVERNALE;24;43.7671308746976;11.2525061317467
1087;PEDANA RINGHIERA TAVOLINI;OMBRELLONI;23;2012-11-16;2015-03-14;;Piazza dei Peruzzi;4 R;INVERNALE;23;43.7685545316538;11.2598659209337
1099;PEDANA RINGHIERA TAVOLINI;NESSUNA;4;2012-11-16;2015-03-14;;Via del Sole;24 R;INVERNALE;4;43.7723404947267;11.2500213587351
1109;PEDANA RINGHIERA TAVOLINI PARAVENTI;GAZEBO CON CHIUSURA;17;2011-11-16;2014-03-14;;Via Francesco Datini;;INVERNALE;17;43.7594605543732;11.288401069
1112;PEDANA RINGHIERA TAVOLINI;NESSUNA;5;2012-11-16;2015-03-14;;Via dei Ginori;55 R;INVERNALE;5;43.77697734942;11.2560138370975
