Municipio;Tipologia;Classificazione;Denominazione;Indirizzo;Singole;Doppie;Triple;Quadruple;Quintuple;Sestuple;Totale camere;Posti letto;Unita abitative;Posti letto unita abitative
Municipio I (ex Mun I);Albergo;1 Stella;ALBERGO GABRIELE;VIA PRINCIPE AMEDEO, 76;2;3;3;0;0;0;8;17;0;0
Municipio I (ex Mun I);Albergo;1 Stella;ALBERGO GRANTORINO SUITE;VIA TORINO, 150;2;5;1;0;0;0;8;15;0;0
Municipio I (ex Mun I);Albergo;1 Stella;"ALBERGO ""MILLEROSE""";VIA DANIELE MANIN, 58;1;8;1;0;0;0;10;20;0;0
Municipio I (ex Mun I);Albergo;1 Stella;ALBERGO  NUOVA MONACO;VIA FLAVIA, 84;1;4;4;0;0;0;9;21;0;0
Municipio I (ex Mun I);Albergo;1 Stella;ALBERGO STADLER;VIA GIOBERTI, 30;1;6;1;0;0;0;8;16;0;0
Municipio I (ex Mun I);Albergo;1 Stella;ALBERGO STADLER DUE;VIA MAGENTA, 13;2;5;3;0;0;0;10;21;0;0
Municipio I (ex Mun I);Albergo;1 Stella;ALBERGO YH44;VIA PALESTRO, 44;6;5;3;0;0;0;14;25;0;0
Municipio I (ex Mun I);Albergo;1 Stella;ALEXIS;VIA GAETA, 29;5;7;0;0;0;0;12;19;0;0
Municipio I (ex Mun I);Albergo;1 Stella;ALLO STATUTO;VIA DELLO STATUTO, 32;3;1;0;0;0;0;4;5;0;0
Municipio I (ex Mun I);Albergo;1 Stella;ASCOT;VIA MONTEBELLO, 22;5;6;7;3;0;0;21;50;0;0
Municipio I (ex Mun I);Albergo;1 Stella;BEAUTIFUL 2;VIA MILAZZO, 14;3;5;4;0;0;0;12;25;0;0
Municipio I (ex Mun I);Albergo;1 Stella;BEAUTY;VIA NAPOLEONE III, 35;3;5;0;0;0;0;8;13;0;0
Municipio I (ex Mun I);Albergo;1 Stella;BED IN ROMA;VIA DEI MILLE, 64;3;4;1;0;0;0;8;14;0;0
Municipio I (ex Mun I);Albergo;1 Stella;BIXIO;VIA BIXIO, 46;0;11;1;0;0;0;12;25;0;0
Municipio I (ex Mun I);Albergo;1 Stella;BOCCACCIO;VIA DEL BOCCACCIO, 25;2;4;2;0;0;0;8;16;0;0
Municipio I (ex Mun I);Albergo;1 Stella;CAPRI;VIA MAGENTA, 13;3;4;1;0;0;0;8;14;0;0
Municipio I (ex Mun I);Albergo;1 Stella;CARAVAGGIO 2;VIA PALERMO, 73;3;4;0;0;0;0;7;11;0;0
Municipio I (ex Mun I);Albergo;1 Stella;CARLO ALBERTO;VIA CARLO ALBERTO, 43;8;3;0;0;0;0;11;14;0;0
Municipio I (ex Mun I);Albergo;1 Stella;CARMEL;VIA GOFFREDO MAMELI, 11;5;3;3;0;0;0;11;20;0;0
Municipio I (ex Mun I);Albergo;1 Stella;CENTRAL LODGE;VIA BUONARROTI, 19;0;8;10;0;0;0;18;46;0;0
Municipio I (ex Mun I);Albergo;1 Stella;CERVIA;VIA PALESTRO, 55;8;13;9;5;0;0;35;81;0;0
